"","date","hours","low","high","volume"
"1","2021-01-23","1~2",35449044,35985748,14138627367
"2","2021-01-23","3~4",36053155,36884065,17712366593
"3","2021-01-23","5~6",36856325,37293348,16678817295
"4","2021-01-23","7~8",36163640,36890371,21636299823
"5","2021-01-23","9~10",35837458,36479119,22590833531
"6","2021-01-23","11~12",35930396,36423027,14557254957
"7","2021-01-23","13~14",35973899,36601078,17591568309
"8","2021-01-23","15~16",36344953,36821891,16369725348
"9","2021-01-23","17~18",36066594,36489511,15536273204
"10","2021-01-23","19~20",35075846,36019543,31351366001
"11","2021-01-23","21~22",34835976,35626296,22402113987
"12","2021-01-23","23~24",35225861,35623648,14277807802
"13","2021-01-24","1~2",35482354,35872946,12018089435
"14","2021-01-24","3~4",35480118,35840783,7430114339
"15","2021-01-24","5~6",35304959,35739370,7659484147
"16","2021-01-24","7~8",35369317,35658661,8626989709
"17","2021-01-24","9~10",35144209,35439419,10939994527
"18","2021-01-24","11~12",35195239,35628775,14106194628
"19","2021-01-24","13~14",35751852,36231651,24124060199
"20","2021-01-24","15~16",35772018,36106041,13669375870
"21","2021-01-24","17~18",35756857,36041557,13364021767
"22","2021-01-24","19~20",35730667,35971634,14863260492
"23","2021-01-24","21~22",35254376,35798210,21329866565
"24","2021-01-24","23~24",35121729,35429284,13285543138
"37","2021-01-26","1~2",37144770,37813183,19789549396
"38","2021-01-26","3~4",37101913,37453836,12798384222
"39","2021-01-26","5~6",36348931,37079989,22209078197
"40","2021-01-26","7~8",35871021,36473719,24889813853
"41","2021-01-26","9~10",35796504,36495060,25763999578
"42","2021-01-26","11~12",35569817,36231336,24035952023
"43","2021-01-26","13~14",35313068,35860807,18623615104
"44","2021-01-26","15~16",34982651,35518374,20850674462
"45","2021-01-26","17~18",35177952,35645192,16284762425
"46","2021-01-26","19~20",35461397,36078230,19866402326
"47","2021-01-26","21~22",35224905,35777620,18433323702
"48","2021-01-26","23~24",34935685,35695425,20645046440
"49","2021-01-27","1~2",35401999,35967144,18384867252
"50","2021-01-27","3~4",35614031,35946650,11527482887
"51","2021-01-27","5~6",35420619,35842841,8790098758
"52","2021-01-27","7~8",35714532,36250687,15294189784
"53","2021-01-27","9~10",35478169,35981835,16282457553
"54","2021-01-27","11~12",35397650,35681626,12901922728
"55","2021-01-27","13~14",35115074,35548147,14902696150
"56","2021-01-27","15~16",35122079,35424077,12814437226
"57","2021-01-27","17~18",34713877,35248702,23168159548
"58","2021-01-27","19~20",34609268,35174854,18509994086
"59","2021-01-27","21~22",34123171,34684925,22801307239
"60","2021-01-27","23~24",33266580,34320221,36766760480
"61","2021-01-28","1~2",34005124,34667444,21707055430
"62","2021-01-28","3~4",33525277,34550729,18701004061
"63","2021-01-28","5~6",34485555,35414961,19741703611
"64","2021-01-28","7~8",34196246,34748144,15189907919
"65","2021-01-28","9~10",34040555,34698313,19871698218
"66","2021-01-28","11~12",34714395,35161837,23854858941
"67","2021-01-28","13~14",34779307,35370626,22747352831
"68","2021-01-28","15~16",35011442,35374734,20207381874
"69","2021-01-28","17~18",34473633,34995081,16888140730
"70","2021-01-28","19~20",34661280,35071132,15402200932
"71","2021-01-28","21~22",34759498,35233471,18305958834
"72","2021-01-28","23~24",35076472,35520047,23204210868
"85","2021-01-30","1~2",38785419,39766761,25217861651
"86","2021-01-30","3~4",37545499,38697219,26015951132
"87","2021-01-30","5~6",37497030,38299729,19689014974
"88","2021-01-30","7~8",37308571,38184027,24388836569
"89","2021-01-30","9~10",37346688,38043488,22574965478
"90","2021-01-30","11~12",36760093,37484338,23284693315
"91","2021-01-30","13~14",36712020,37275476,18148943563
"92","2021-01-30","15~16",36909536,37507513,15727811587
"93","2021-01-30","17~18",37406657,37945024,16677886692
"94","2021-01-30","19~20",37217761,37721771,19638091112
"95","2021-01-30","21~22",37064013,37433703,16866841477
"96","2021-01-30","23~24",37027413,37536889,21258189205
"97","2021-01-31","1~2",36411787,37129225,29705524317
"98","2021-01-31","3~4",36895200,37245401,15969288469
"99","2021-01-31","5~6",36836049,37260876,9654837666
"100","2021-01-31","7~8",36923941,37305249,18886426919
"101","2021-01-31","9~10",36808113,37169167,17421879250
"102","2021-01-31","11~12",36829561,37168594,12945452627
"103","2021-01-31","13~14",36986524,37220893,10270200853
"104","2021-01-31","15~16",36725614,36999798,13408082212
"105","2021-01-31","17~18",36449961,36818043,16290844611
"106","2021-01-31","19~20",36402454,36829804,17637113200
"107","2021-01-31","21~22",36591343,37249207,19410333782
"108","2021-01-31","23~24",36324484,36799451,20862683351
"109","2021-02-01","1~2",35990169,36426384,16016687765
"110","2021-02-01","3~4",35938934,36394524,10956155380
"111","2021-02-01","5~6",36016436,36390740,8002555698
"112","2021-02-01","7~8",36045913,36398488,11984277038
"113","2021-02-01","9~10",35962406,36688740,21563361804
"114","2021-02-01","11~12",36544357,37088351,24496715656
"115","2021-02-01","13~14",36694182,37012710,25233309733
"116","2021-02-01","15~16",36744264,37249058,26034241777
"117","2021-02-01","17~18",37038622,37883302,32257411371
"118","2021-02-01","19~20",37088686,37610550,28539824773
"119","2021-02-01","21~22",36501815,37147190,27847637209
"120","2021-02-01","23~24",36233461,36698314,24822759211
"121","2021-02-02","1~2",36467143,36949230,16536145741
"122","2021-02-02","3~4",36757059,37081156,9523367541
"123","2021-02-02","5~6",36529320,36811147,8431815488
"124","2021-02-02","7~8",36286614,36672466,16245705398
"125","2021-02-02","9~10",36355046,36712862,24045258192
"126","2021-02-02","11~12",36339308,36519852,17824724777
"127","2021-02-02","13~14",36478219,36803191,17047492843
"128","2021-02-02","15~16",36705222,37016099,19888554739
"129","2021-02-02","17~18",37028012,37685383,27882158494
"130","2021-02-02","19~20",37198990,37750349,20170686661
"131","2021-02-02","21~22",37191031,37552761,16209481228
"132","2021-02-02","23~24",37108422,37537145,14710938180
"133","2021-02-03","1~2",37235485,37474761,14870313512
"134","2021-02-03","3~4",37400775,37790521,9804644898
"135","2021-02-03","5~6",37684032,38052263,16175677952
"136","2021-02-03","7~8",37817167,38123455,16683190002
"137","2021-02-03","9~10",38004624,38689908,23484994033
"138","2021-02-03","11~12",38084096,38526744,20029293064
"139","2021-02-03","13~14",38585811,38872401,28096946763
"140","2021-02-03","15~16",38663016,39124752,21987612954
"141","2021-02-03","17~18",38240904,38629794,22849657759
"142","2021-02-03","19~20",38291567,38626863,13131641682
"143","2021-02-03","21~22",38272021,38738528,17333001355
"144","2021-02-03","23~24",38601657,39016133,16901476431
"145","2021-02-04","1~2",38570727,39083370,19991376509
"146","2021-02-04","3~4",38567714,38849938,13104013153
"147","2021-02-04","5~6",38862475,39238072,13131817795
"148","2021-02-04","7~8",39043296,39352592,13362759622
"149","2021-02-04","9~10",39548734,40159110,28921947806
"150","2021-02-04","11~12",39855758,40139367,20801312374
"151","2021-02-04","13~14",40064229,40317647,18723170814
"152","2021-02-04","15~16",40162893,40483687,18755449740
"153","2021-02-04","17~18",38979908,40581861,47150014407
"154","2021-02-04","19~20",39444243,40028353,21582707885
"155","2021-02-04","21~22",39488522,40016166,17230110233
"156","2021-02-04","23~24",39048119,39748163,22110597758
"157","2021-02-05","1~2",39056360,39447374,17690862004
"158","2021-02-05","3~4",39204865,39698031,12000363520
"159","2021-02-05","5~6",39627224,39990539,12488456352
"160","2021-02-05","7~8",39654344,39893114,14508297281
"161","2021-02-05","9~10",39649746,40001975,18557031360
"162","2021-02-05","11~12",39638901,39870893,19213142267
"163","2021-02-05","13~14",39717897,39930883,14420538267
"164","2021-02-05","15~16",39768719,40093565,19557445126
"165","2021-02-05","17~18",39836680,40074504,16280661265
"166","2021-02-05","19~20",39785201,39990874,15519848053
"167","2021-02-05","21~22",40005814,40595717,24913383162
"168","2021-02-05","23~24",40189599,40544404,22999779424
"169","2021-02-06","1~2",39937332,40187673,15958495467
"170","2021-02-06","3~4",39808718,40039440,11108444902
"171","2021-02-06","5~6",39953921,40141453,9707319591
"172","2021-02-06","7~8",40146028,40384543,13662408051
"173","2021-02-06","9~10",40642286,41567838,37116257323
"174","2021-02-06","11~12",41517095,42177032,32211172497
"175","2021-02-06","13~14",41708151,42077162,17719225637
"176","2021-02-06","15~16",41966836,42264775,16323230782
"177","2021-02-06","17~18",42144431,42536792,22446133350
"178","2021-02-06","19~20",42663612,43211591,36957347271
"179","2021-02-06","21~22",42670472,43110558,24000929661
"180","2021-02-06","23~24",42889272,43381483,23645820679
"181","2021-02-07","1~2",42749256,43332786,23581782087
"182","2021-02-07","3~4",42553426,42954125,17891011791
"183","2021-02-07","5~6",42241576,42654632,17532749594
"184","2021-02-07","7~8",41813464,42471859,27894314541
"185","2021-02-07","9~10",41364124,42354335,29696556821
"186","2021-02-07","11~12",41458862,41827627,19573617423
"187","2021-02-07","13~14",41351742,41759061,16735807281
"188","2021-02-07","15~16",41598934,42116200,15914399094
"189","2021-02-07","17~18",42270741,42617582,16294666026
"190","2021-02-07","19~20",41972610,42406468,15253900109
"191","2021-02-07","21~22",41431477,42066162,21258540377
"192","2021-02-07","23~24",40851798,41473919,24536862680
"217","2021-02-10","1~2",49419924,50074277,22277181408
"218","2021-02-10","3~4",49449866,49966939,12161669041
"219","2021-02-10","5~6",49468805,49981040,14893527541
"220","2021-02-10","7~8",48911769,49643335,22144205335
"221","2021-02-10","9~10",48411432,49032048,28508339945
"222","2021-02-10","11~12",48720844,48986373,24187263824
"223","2021-02-10","13~14",48629826,48955842,21115968929
"224","2021-02-10","15~16",48778185,49041374,11324386560
"225","2021-02-10","17~18",48639284,48960005,20315761712
"226","2021-02-10","19~20",48886875,49388822,19648869972
"227","2021-02-10","21~22",48461741,49164413,27886668452
"228","2021-02-10","23~24",47886662,48858757,31770583997
"229","2021-02-11","1~2",47694316,48322908,17705983908
"230","2021-02-11","3~4",48201089,48654826,10613576153
"231","2021-02-11","5~6",48407530,48676497,9412203807
"232","2021-02-11","7~8",48505747,48903718,15310758061
"233","2021-02-11","9~10",48120796,48643710,24755280091
"234","2021-02-11","11~12",48536307,49007933,16975164106
"235","2021-02-11","13~14",48724577,49236751,15284848604
"236","2021-02-11","15~16",48513828,48863958,13661235181
"237","2021-02-11","17~18",48408326,48818957,17087088239
"238","2021-02-11","19~20",48941443,49481691,24957836414
"239","2021-02-11","21~22",49452729,50505085,42033782703
"240","2021-02-11","23~24",50430256,51126745,31351194625
"241","2021-02-12","1~2",50439228,51105748,24113407217
"242","2021-02-12","3~4",50561316,51123709,14748258717
"243","2021-02-12","5~6",50596939,51396668,23721327828
"244","2021-02-12","7~8",50946198,51375470,18802351230
"245","2021-02-12","9~10",51440571,52143820,28513957520
"246","2021-02-12","11~12",51766980,52166536,23228781645
"247","2021-02-12","13~14",51053832,51769653,24536150248
"248","2021-02-12","15~16",50988714,51487745,19188660132
"249","2021-02-12","17~18",51072920,51410915,17844551079
"250","2021-02-12","19~20",51260647,51725664,17072584024
"251","2021-02-12","21~22",51445350,51872629,17246367247
"252","2021-02-12","23~24",50365258,51198937,30292155068
"253","2021-02-13","1~2",50898635,51476182,19503713556
"254","2021-02-13","3~4",50687220,51160434,11257555224
"255","2021-02-13","5~6",50863739,51294899,11676388510
"256","2021-02-13","7~8",50844171,51256765,15626917702
"257","2021-02-13","9~10",50823481,51168817,20520659130
"258","2021-02-13","11~12",51225051,51693584,19760136471
"259","2021-02-13","13~14",51172524,51584539,17818640989
"260","2021-02-13","15~16",51051457,51468837,19822972741
"261","2021-02-13","17~18",50653182,51250978,20442832484
"262","2021-02-13","19~20",50366419,51029258,29719907444
"263","2021-02-13","21~22",50392191,50988039,24892019364
"264","2021-02-13","23~24",50678296,51028586,20994817482
"265","2021-02-14","1~2",50458091,50814464,16749944317
"266","2021-02-14","3~4",50234309,50436401,12966589539
"267","2021-02-14","5~6",50268241,50584903,12989778120
"268","2021-02-14","7~8",50370504,50640242,15068052056
"269","2021-02-14","9~10",50556404,51225759,24004369542
"270","2021-02-14","11~12",50498731,50923165,17013771671
"271","2021-02-14","13~14",50870741,51809606,24235250822
"272","2021-02-14","15~16",52114283,52774614,33349853506
"273","2021-02-14","17~18",51832515,52520686,20746217647
"274","2021-02-14","19~20",52185320,52715245,23205353436
"275","2021-02-14","21~22",52258654,53037073,32357455620
"276","2021-02-14","23~24",51664253,52402243,26926830944
"277","2021-02-15","1~2",52185430,52549894,14050379454
"278","2021-02-15","3~4",52219042,52450326,6884373627
"279","2021-02-15","5~6",52307615,52570131,9106827572
"280","2021-02-15","7~8",52465338,52866970,15678676681
"281","2021-02-15","9~10",52480238,52978031,26104645059
"282","2021-02-15","11~12",50942080,52295252,39009661377
"283","2021-02-15","13~14",50954668,51578481,28753517083
"284","2021-02-15","15~16",51190180,51615305,18889486070
"285","2021-02-15","17~18",51728527,52066153,19094840840
"286","2021-02-15","19~20",51609055,51988173,14875745412
"287","2021-02-15","21~22",51637602,52048279,17675192084
"288","2021-02-15","23~24",51726672,51974419,13803599738
"289","2021-02-16","1~2",52048142,52513785,20113832383
"290","2021-02-16","3~4",52207913,52434711,7965524545
"291","2021-02-16","5~6",52387788,52641663,12839794125
"292","2021-02-16","7~8",52367741,52740753,19960034408
"293","2021-02-16","9~10",51990261,52594158,25792535169
"294","2021-02-16","11~12",52605638,53295844,29846702151
"295","2021-02-16","13~14",53668928,54382810,35336307027
"296","2021-02-16","15~16",53446853,53921980,24242461920
"297","2021-02-16","17~18",53587952,53890768,17745999237
"298","2021-02-16","19~20",53440096,53804806,16293179553
"299","2021-02-16","21~22",53669262,54904792,42804308501
"300","2021-02-16","23~24",54026348,54458401,19068972537
"301","2021-02-17","1~2",53820528,54320716,18960726534
"302","2021-02-17","3~4",53710325,54208487,12934767292
"303","2021-02-17","5~6",53948600,54374527,14764954169
"304","2021-02-17","7~8",54344465,54804931,15572935727
"305","2021-02-17","9~10",54488604,54908826,21385337331
"306","2021-02-17","11~12",54931852,55635701,32083665157
"307","2021-02-17","13~14",55145476,55538655,26123729032
"308","2021-02-17","15~16",55750122,56626752,38708095852
"309","2021-02-17","17~18",56447941,57109952,28191552372
"310","2021-02-17","19~20",56543818,57121162,26331498351
"311","2021-02-17","21~22",55905774,56588477,29144373810
"312","2021-02-17","23~24",56290139,56754685,16472075680
"313","2021-02-18","1~2",56377109,56697812,9782063251
"314","2021-02-18","3~4",56660326,57206531,15504926765
"315","2021-02-18","5~6",57310726,57855311,21124381980
"316","2021-02-18","7~8",57377430,57782612,20821439814
"317","2021-02-18","9~10",57559938,57925735,25295040966
"318","2021-02-18","11~12",57477592,57754737,19995792967
"319","2021-02-18","13~14",57670820,58054882,20205877925
"320","2021-02-18","15~16",57480236,58027834,26470106829
"321","2021-02-18","17~18",56717043,57642931,25728955809
"322","2021-02-18","19~20",57064370,57429870,19295994701
"323","2021-02-18","21~22",56983314,57595923,18072371766
"324","2021-02-18","23~24",57394753,58071584,18332057800
"325","2021-02-19","1~2",57638425,58049917,11435166093
"326","2021-02-19","3~4",57721219,57985504,8682335894
"327","2021-02-19","5~6",57629490,58031349,11161643438
"328","2021-02-19","7~8",57646063,57915744,11892004300
"329","2021-02-19","9~10",57613346,57999909,26225171927
"330","2021-02-19","11~12",57263400,57703765,23426140601
"331","2021-02-19","13~14",57340753,57650407,20175429252
"332","2021-02-19","15~16",57692273,57939227,20758979392
"333","2021-02-19","17~18",57995195,58733523,29237117516
"334","2021-02-19","19~20",58942577,59303011,22486693791
"335","2021-02-19","21~22",58648724,59074561,21141724545
"336","2021-02-19","23~24",59189998,60100025,27772676869
"337","2021-02-20","1~2",60513703,61445250,29556836328
"338","2021-02-20","3~4",61252913,62012340,18515638859
"339","2021-02-20","5~6",61856589,62834644,21419894118
"340","2021-02-20","7~8",62301867,63265695,28847887685
"341","2021-02-20","9~10",63267448,64535773,54917767369
"342","2021-02-20","11~12",63474035,64515014,36193779336
"343","2021-02-20","13~14",63257566,63726882,22649473111
"344","2021-02-20","15~16",63192083,63540982,21433409615
"345","2021-02-20","17~18",62996337,63346338,20372457682
"346","2021-02-20","19~20",63234755,64092881,23361854997
"347","2021-02-20","21~22",64485927,65491486,37616046409
"348","2021-02-20","23~24",64382103,65282770,38329028760
"349","2021-02-21","1~2",64799197,65431447,27041565274
"350","2021-02-21","3~4",65225479,65492809,11388118831
"351","2021-02-21","5~6",65155421,65525382,14576559389
"352","2021-02-21","7~8",63730172,65060646,44563838436
"353","2021-02-21","9~10",63710483,64541315,39070406419
"354","2021-02-21","11~12",64727420,65315598,28225102906
"355","2021-02-21","13~14",64771738,65140840,18425432930
"356","2021-02-21","15~16",64238093,64674522,22716303755
"357","2021-02-21","17~18",64034681,64501664,21093176885
"358","2021-02-21","19~20",64621182,65338365,32257144912
"359","2021-02-21","21~22",64709046,65035163,19723940015
"360","2021-02-21","23~24",64788095,65241750,23422381946
"385","2021-02-24","1~2",53198156,54859732,33269080131
"386","2021-02-24","3~4",52325776,53589935,26870202264
"387","2021-02-24","5~6",52744627,54474910,29235967641
"388","2021-02-24","7~8",54254143,55162829,30184352625
"389","2021-02-24","9~10",53724758,56319541,42192362659
"390","2021-02-24","11~12",56563969,57570924,38211081675
"391","2021-02-24","13~14",56583806,57744458,35291323189
"392","2021-02-24","15~16",55569114,56783075,34246288238
"393","2021-02-24","17~18",56107109,57156609,26040015607
"394","2021-02-24","19~20",56251927,56953242,21011278442
"395","2021-02-24","21~22",55678382,57046056,32682926886
"396","2021-02-24","23~24",54388216,55929343,30804626548
"553","2021-03-10","1~2",61573498,61993808,16896763735
"554","2021-03-10","3~4",61516051,61863666,11898181526
"555","2021-03-10","5~6",61785944,62287000,15262660380
"556","2021-03-10","7~8",62349020,62820073,23281286840
"557","2021-03-10","9~10",62593120,63717599,38348557779
"558","2021-03-10","11~12",61130472,62421408,38754587474
"559","2021-03-10","13~14",61375489,61965106,20757030765
"560","2021-03-10","15~16",61989049,62557532,20953309647
"561","2021-03-10","17~18",62503200,63367312,25111480491
"562","2021-03-10","19~20",62783073,63263060,19393069543
"563","2021-03-10","21~22",63108584,63968469,33076429625
"564","2021-03-10","23~24",63833096,64427551,31285278530
"565","2021-03-11","1~2",64299580,65040056,25024619856
"566","2021-03-11","3~4",64517778,65039232,17450136025
"567","2021-03-11","5~6",64082884,64941947,28839839350
"568","2021-03-11","7~8",64520356,65278542,29364771045
"569","2021-03-11","9~10",63833103,64757594,30489429048
"570","2021-03-11","11~12",64209305,64786041,21870322181
"571","2021-03-11","13~14",63854047,64391911,23279755891
"572","2021-03-11","15~16",63611121,64184827,22597212916
"573","2021-03-11","17~18",62955936,63586454,30337946219
"574","2021-03-11","19~20",63406648,64451493,24005921748
"575","2021-03-11","21~22",64486417,65042300,30594309270
"576","2021-03-11","23~24",64537719,65288087,30048245310
"577","2021-03-12","1~2",64570122,65214227,23873927790
"578","2021-03-12","3~4",64696595,65410300,21551797489
"579","2021-03-12","5~6",64705514,65555757,18165684532
"580","2021-03-12","7~8",65539478,65981571,27751005116
"581","2021-03-12","9~10",65673800,66366951,33914465640
"582","2021-03-12","11~12",65343272,65889125,24877318754
"583","2021-03-12","13~14",65284058,65661963,19534021828
"584","2021-03-12","15~16",65359959,65822914,21859336994
"585","2021-03-12","17~18",65271651,65721996,23637060012
"586","2021-03-12","19~20",64925313,65598416,23515652470
"587","2021-03-12","21~22",65202317,65748229,18071741807
"588","2021-03-12","23~24",64546073,65294792,31040145171
"589","2021-03-13","1~2",65488592,66211605,29943223095
"590","2021-03-13","3~4",66100411,66618138,18597195487
"591","2021-03-13","5~6",65802767,66281395,14919620175
"592","2021-03-13","7~8",65970496,66573509,18841040666
"593","2021-03-13","9~10",66140379,66621930,22401436213
"594","2021-03-13","11~12",65467204,65918810,20758907618
"595","2021-03-13","13~14",65444562,65862774,18016015401
"596","2021-03-13","15~16",65448999,65876908,13195274822
"597","2021-03-13","17~18",65624572,66090823,17320134041
"598","2021-03-13","19~20",65909611,67544860,38233323572
"599","2021-03-13","21~22",68509343,69463715,37216536505
"600","2021-03-13","23~24",68665401,69145378,22876434696
"601","2021-03-14","1~2",68481190,68886618,20614262064
"602","2021-03-14","3~4",68708147,69235427,11256496985
"603","2021-03-14","5~6",69146663,70089544,23275558477
"604","2021-03-14","7~8",69915474,70516744,21931366014
"605","2021-03-14","9~10",70306113,70996883,28542315597
"606","2021-03-14","11~12",69915891,70484250,25904272091
"607","2021-03-14","13~14",70415752,70906056,18612508283
"608","2021-03-14","15~16",70194562,70608945,17055685825
"609","2021-03-14","17~18",70051497,70354255,15752935148
"610","2021-03-14","19~20",69909160,70460702,17223368278
"611","2021-03-14","21~22",69132022,69954246,27341126146
"612","2021-03-14","23~24",68999917,69738489,16724986769
"625","2021-03-16","1~2",64733602,65534899,23918936959
"626","2021-03-16","3~4",64437582,65034076,18501494400
"627","2021-03-16","5~6",64907929,65538737,15153507564
"628","2021-03-16","7~8",65121540,66077247,19526469057
"629","2021-03-16","9~10",63500123,65184625,36037568230
"630","2021-03-16","11~12",62221841,63288188,33597068844
"631","2021-03-16","13~14",62729119,63483739,32428162118
"632","2021-03-16","15~16",62674539,64017017,36975664301
"633","2021-03-16","17~18",64003513,65003749,31873598990
"634","2021-03-16","19~20",64147551,65107003,28228796702
"635","2021-03-16","21~22",63165069,64131876,22507497681
"636","2021-03-16","23~24",63643042,64396349,19903142985
"637","2021-03-17","1~2",64166390,64595729,18964816889
"638","2021-03-17","3~4",64105901,64659074,19265138196
"639","2021-03-17","5~6",64422278,65055420,12665920736
"640","2021-03-17","7~8",65295732,65782336,20022051294
"641","2021-03-17","9~10",65301360,66105474,24890290087
"642","2021-03-17","11~12",64971832,65466013,20805758044
"643","2021-03-17","13~14",64402016,65068947,23120676321
"644","2021-03-17","15~16",64568514,65149994,25819004088
"645","2021-03-17","17~18",64456890,64996810,20852801040
"646","2021-03-17","19~20",62732688,64189289,31942121789
"647","2021-03-17","21~22",63015790,64078650,27469762064
"648","2021-03-17","23~24",63622619,64253952,21357144338
